,,,,,
"SITUAŢIA CONFISCĂRILOR DE DROGURI REALIZATE ÎN ROMÂNIA, 
ÎN PERIOADA IANUARIE - DECEMBRIE 2020",,,,,
,,,,,
,Grame,Comprimate,Doze/Buc,Mililitri,Nr. Capturi
Heroină,181277,,,1,373
Cocaină,80117.56,,,,700
Amfetamină,13960.68,5438,,200,302
Metamfetamină,732.14,,,,15
MDMA,2372.16,45355,,,555
Metadonă,3.26,1157,,55,122
Oxicodonă,,20,,505.3,13
Morfină,0.03,1941,,1049,5
Opiu,119365.6,,,,2
LSD,,,1014,1.9,26
Codeină,2.55,80,,,6
Ciuperci halucinogene,752.64,,,,47
Canabinoizi sintetici,593.74,,,,200
Catinone,16968.63,1,,,74
2C-X,1.46,80,,,15
Petidină,,,,420,1
Fentanyl,,8142,267,20,8
Dihidrocodeina,,410,,,1
Triptamine,414.42,,,,4
ALTELE,,222,12,,5
Canabis,624938.200000003,,,,3889
Rezină de canabis,12587.84,,,,191
Ulei de canbis,,2222,,220.48,4
Soluție cu THC,,,,6045.6,17
Ketamină,1650.49,,,369.92,227
Benzodiazepine,13.33,442062,,86.4,176
Barbiturice,,10,,16,2
Zolpidem,,69,,,4
Amfepramonă,,3000,,,14
ALTELE,118.9,30,,1065,10
Masă plante de cababis,652576.72,,,,97
Fragmente vegetale cu THC,176928.09,,,,300
